Tree_Species,Count of Yes,Count of No
Acer_rubrum,111,1094
Acer_saccharinum,4,8
Fagus_grandifolia,12,48
Pyrus_calleryana,6,64
Acer_platanoides,0,66
Acer_saccharum,0,8
Acer_triflorum,0,2
Ailanthus_altissima,0,9
Betula_papyrifera,0,60
Frangula_alnus,0,24
Fraxinus_americana,0,12
Platanus_occidentalis,0,16
Unk,0,8
